genus,epitet,author
Atriplex,littoralis,L.
Atriplex,micrantha,C. A. Mey.
Atriplex,palaestina,Boiss.
Atriplex,parvifolia,Moq.
Atriplex,patula,L.
Atriplex,portulacoides,L.
Atriplex,ro˛ea,L.
Atriplex,stylosa,Viv.
Atriplex,tatarica,L.
Atriplex,thunbergifolia,Boiss. et Noë
Atriplex,turcomanica,Moqu.
Atriplex,zahlensis,Moût.
Atropis,,
Atropis,convoluta,(Hornem.) Griseb.
Atropis,distans,(L.) Rupr.
Avena,,
Avena,alba,Vahl
Avena,barbata,Potter
Avena,clauda,Dur.
Avena,convoluta,Presl
Avena,elatior,L.
Avena,fatua,L.
Avena,flavescens,L.
Avena,fragilis,L.
Avena,macra,Stev.
Avena,orientalis,Schrad.
Avena,pilosa,M. Bieb.
Avena,pratensis,L.
Avena,sativa,L.
Avena,sterilis,L.
Avena,wiestii,Steud.
Axyris,,
Axyris,ceratoides,L.
Baldingera,,
Baldingera,colorata,FI. Witt.
Bassia,,
Bassia,arabica,(Bo s.) Maire et Weiller
Bassia,eriophora,(Schrad.) O. Kuntze
Bassia,hyssopifolia,Pali.) O. Kuntze
Bassia,monticola,(Boiss.) O. Kuntze
Bassia,muricata,L.) Murr.
Beckmannia,,
Beckmannia,eruciformis,(L.) Host
Behen,,
Behen,vulgaris,Mœnch
Bellevalia,,
Bellevalia,ciliata,(Gyr.) Nées
Bellevalia,densiflora,Boiss.
Bellevalia,douini,Pabot et Moût.
Bellevalia,flexuosa,Boiss.
Bellevalia,hermonis,Moût.
Bellevalia,longipes,Post
Bellevalia,macrobotrys,Boiss.
Bellevalia,mosheovii,Feinbr.
Bellevalia,nivalis,Boiss. et Ky
Bellevalia,palmyrensis,Feinbr.
Bellevalia,stepporum,Feinbr.
Bellevalia,trifoliata,Boiss.
Beta,,
Beta,maritima,L.
Beta,vulgaris,L.
Biarum,,
Flore,,
Flore,aleppicum,Thiéb.
Flore,angustatum,(J. E. Hook.) Boiss.
Flore,auraniticum,Moût.
Flore,bovei,Blume
Flore,carduchorum,(Schott) Engler
Flore,pyrami,(Schott) Engler
Flore,russellianum,Schott
Bilderdykia,,
Bilderdykia,convolvulus,(L.) Dumort.
Blechnum,,
Blechnum,spicant,(L.) Roth.
Blitum,,
Blitum,rubrum,(L.) Reichenb.
Blitum,virgatum,L.
Blysmus,,
Blysmus,compressus,(L.) Panzer
Bœrhavia,,
Boissiera,,
Boissiera,bromoides,(Hochstt.) Steud.
Boissiera,pumilio,(Trin.) Hackel
Bolanthus,,
Bolanthus,filicaulis,(Boiss.) Bark.
Bolanthus,frankenioides,(Boiss.) Bark.
Bolanthus,hirsutus,(Lab.) Bark.
Bothriochloa,,
Bothriochloa,ischaemum,(L.) Mansfeld
Brachiaria,,
Brachiaria,eruciformis,(Sibth. et Smith) Gmel.
Brachiaria,mutica,(Forsk.) Stapf
Brachypodium,,
Brachypodium,distachyum,(L.) Beauv<
Brachypodium,pinnatum,(L.) Beauv.
Brachypodium,ramosum,(L.) Roem. et Schult.
Brachypodium,sylvaticum,(Huds.) Beauv.
Briza,,
Briza,eragrostis,L.
Briza,humilis,M. Bieb.
Briza,maxima,L.
Briza,minor,L.
Briza,spicata,Sibth. et Smith
Bromus,,
Bromus,aegyptiacus,Tausch
Bromus,alopecuroides,Poir.
Bromus,alopecuros,Poir.
Bromus,anatolicus,Boiss. et Heldr.
Bromus,arvensis,L.
Bromus,bikfayensis,A. Camus et R. Gomb.
Bromus,brachystachys,Host
Bromus,contortus,Desf.
Bromus,danthoniae,Trin.
Bromus,dertonensis,Ail.
Bromus,distachyos,L.
Bromus,divaricatus,Rohde
Bromus,erectus,Huds.
Bromus,fasciculatus,Presl
Bromus,flabellatus,(Hack.) Boiss.
Bromus,gussonii,Pari.
Bromus,hordeaceus,L.
Bromus,intermedius,Guss.
Bromus,japonicus,Thunb.
Bromus,lanceolatus,Roth
Bromus,macrpstachys,Desf.
Bromus,madritensis,L.
Bromus,maximus,Desf.
Bromus,mollis,L.
Bromus,oxyphlaeus,Payne
Bromus,palaestinus,Melderis
Bromus,patulus,Mert. et Koch
Bromus,pinnatus,L.
Bromus,ramosus,L.
Bromus,rigens,L.
Bromus,rigidus,Roth
Bromus,rubens,L.
Bromus,scoparius,L.
Bromus,squarrosus,L.
Bromus,sterilis,L.
Bromus,syriacus,Boiss. et Bl.
Bromus,tectorum,L.
Bromus,tomentellus,Boiss.
Bromus,villosus,Forsk.
Broussonetia,,
Broussonetia,papyrifera,(L.) L'Hér.
Buffonia,,
Buffonia,ephedrina,Sam.
Buffonia,kotschyana,Boiss.
Buffonia,macrospermaj.,Gay
Buffonia,multiceps,Decne
Buffonia,paniculata,Dubois
Buffonia,tenuifolia,Vill.
Buffonia,virgata,Boiss.
Bulbillaria,,
Bulbillaria,gageoides,Zucc.
Butomus,,
Butomus,umbellatus,L.
Calamagrostis,,
Calamagrostis,epigeios,(L.) Roth
Calamagrostis,littorea,(Schrad.) D.C.
Calamagrostis,pseudophragmites,(Hall Fil.) Kœl.
Calligonum,,
Calligonum,comosum,L'Hér.
Calligonum,tetrapterum,Jaub. et Spach
Cannabis,,
Cannabis,sativa,L.
Carex,,
Carex,acuta,L.
Carex,acutiformis,Ehrh.
Carex,banatica,Heuff.
Carex,buekii,Wimm.
Carex,contigua,Hoppe
Carex,distans,L.
Carex,diversicolor,Druce
Carex,divisa,Huds.
Carex,divulsa,Stokes
Carex,echinata,Murr. Desf.
Carex,echinata,Murr. Desf.
Carex,extensa,Good.
Carex,flacca,Schreb.
Carex,glauca,Scop.
Carex,gracilis,Curt.
Carex,gynobasis,Vill.
Carex,halleriana,Asso
Carex,hispida,Willd.
Carex,leporina,L.
Carex,maxima,Scop.
Carex,mediterranea,Clarke
Carex,muricata,L.
Carex,nemorosa,Rebent.
Carex,otrubae,Podp.
Carex,pachystylisj.,Gay
Carex,pairaei,F. Schultz
Carex,pallescens,L.
Carex,paludosa,Good.
Carex,pendula,Huds.
Carex,phyllostachys,C. A. Mey.
Carex,pseudocyperus,L.
Carex,pubescens,Poir.
Carex,remota,L.
Carex,riparia,Gurt.
Carex,rufa,(L.) Simonk
Carex,silvatica,Huds.
Carex,stellulata,Good.
Carex,stenophylla,Wahlenb.
Carex,subvùlpina,Senay
Carex,vulpina,L.
Caroxylon,,
Caroxylon,articulatum,(Cav.) Moqu.
Caroxylon,salicomicum,Moqu.
Carpinus,,
Carpinus,duinensis,Scop.
Carpinus,orientalis,Mill.
Carpobrotus,,
Carpobrotus,edulis,(L.) N. E. Br.
Castanea,,
Castanea,sativa,L.
Catabrosa,,
Catabrosa,aquatica,(L.) Beauv.
Catabrosa,humilis,(M. Bieb.) Trin.
Catapodium,,
Catapodium,loliaceum,(Huds.) Link
Catapodium,rigidum,(L.) C. Hubb.
Caulinia,,
Caulinia,fragilis,Willd.
