genus,epitet,author
Camelina,anomala,Boiss et Hausskn..
Camelina,hispida,Boiss.
Camelina,lasiocarpa,Boiss. et Hausskn.
Camelina,microcarpa,Andrz.
Camelina,rumelica,Velen.
Camelina,silvestris,Wallr.
Campylopterum,,
Campylopterum,syriacum,Boiss.
Capnophyllum,,
Capnophyllum,peregrinum,(L.) Lagr.
Capparis,,
Capparis,parviflora,Boiss.
Capparis,sicula,Duhamel
Capparis,spinosa,L.
Capsella,,
Capsella,bursa-pastoris,(L.) Medik. gelmi Murr.
Capsella,procumbens,(L.) Fries
Capsella,rubella,Reut.
Cardamine,,
Cardamine,fontana,Lam.
Cardamine,graeca,L.
Cardamine,hirsuta,L.
Cardamine,uliginosa,M. Bieb.
Cardariâ,,
Cardariâ,chalepensis,(L.) Hand. Mazz.
Cardariâ,drabà,(L.) Desv.
Carex,,
Carex,buekii,Wimm.
Carex,echinata,Murr.
Carex,gracilis,Curt.
Carex,stellulata,Good.
Caroxylon,,
Caroxylon,salicomicum,Moqu.
Carpoceras,,
Carpoceras,amani,Post
Carpoceras,cappadocicum,Boiss. et Reut.
Carpoceras,oxyciras,Boiss.
Carrichtera,,
Carrichtera,annua,(L.) Asch.
Carrichtera,vellae,D.C.
Carum,,
Carum,elegans,Fenzl
Carum,ferulifolium,Boiss.
Carum,paucifolium,D.C.
Carum,pestalozzae,Boiss.
Carum,polyphyllum,Boiss. et Bl.
Carum,ridolfia,Benth. et Hook.
Caucalis,,
Caucalis,arvensis,Huds.
Caucalis,daucoides,L.
Caucalis,erythrotticha,Baiss.
Caucalis,fallax,Boiss.
Caucalis,gaillardotii,Boiss.
Caucalis,latifolia,L.
Caucalis,leptophylla,L.
Caucalis,maritima,Gouan
Caucalis,orientalis,L.
Caucalis,platycarpos,L.
Caucalis,pulcherrima,Willd.
Caucalis,pumila,L.
Caucalis,purpurea,Ten.
Caucalis,strigosa,Banks et Sol.
Caylusea,,
Caylusea,canescens,(L.) St. Hil.
Caylusea,hexagyna,(Forssk.) M.L. Green
Cephalanthera,,
Cephalanthera,damasonium,(Mill.) Druce
Cerasus,,
Cerasus,antilibanotica,Post
